token,frequency,pos
foundation,3,NN
valley,3,NN
crispies,3,NNS
soaking,3,VBG
kathy,3,NN
pacific,3,NN
action,3,NN
wings,3,NNS
ill,3,NN
lafoote,3,NN
buyer,3,NN
official,3,NN
curious,3,JJ
junky,3,NN
cvs,3,NN
watchers,3,NNS
build,3,NN
nonsense,3,NN
sports,3,NNS
bottles,3,NNS
greedy,3,NN
bright,3,NN
evidently,3,RB
causing,3,VBG
feedback,3,NN
knock,3,NN
replicate,3,NN
rally,3,NN
drugs,3,NNS
towards,3,NNS
flop,3,NN
background,3,NN
saddens,3,NNS
jones,3,NNS
century,3,NN
heavily,3,RB
genuinely,3,RB
cheers,3,NNS
annie,3,NN
fifties,3,NNS
louisville,3,NN
suitable,3,JJ
leo,3,NN
husbands,3,NNS
awaiting,3,VBG
appealing,3,VBG
throat,3,NN
finds,3,NNS
glorious,3,JJ
receive,3,NN
dislike,3,NN
philadelphia,3,NN
speech,3,NN
mmmmmm,3,NN
train,3,NN
straw,3,NN
offerings,3,NNS
piglet,3,NN
disney,3,NN
complaints,3,NNS
el,3,NN
frankly,3,RB
poof,3,NN
expert,3,NN
countless,3,NN
false,3,JJ
robot,3,NN
ships,3,NNS
sticky,3,NN
edge,3,NN
pleeeease,3,NN
adulthood,3,NN
handy,3,NN
evidence,3,NN
tolerable,3,JJ
bust,3,NN
division,3,NN
terms,3,NNS
falls,3,NNS
wegman,3,NN
outsell,3,NN
rochester,3,NN
disappearing,3,VBG
al,3,NN
exchange,3,NN
hurts,3,NNS
valuable,3,JJ
theses,3,NNS
require,3,NN
unknowingly,3,RB
evah,3,NN
protest,3,NN
sob,3,NN
combos,3,NNS
injustice,3,NN
economy,3,NN
rough,3,NN
til,3,NN
listing,3,NN
nope,3,NN
introduction,3,NN
newspaper,3,NN
formulas,3,NNS
weather,3,NN
clearance,3,NN
mailed,3,VBN
cherry,3,NN
measure,3,NN
seasonally,3,RB
pulp,3,NN
fiction,3,NN
youngest,3,JJS
dogs,3,NNS
revived,3,VBN
alberta,3,NN
mcdonald,3,NN
subscription,3,NN
sea,3,NN
dirty,3,NN
dealing,3,VBG
heads,3,NNS
existing,3,VBG
inedible,3,JJ
bones,3,NNS
digging,3,VBG
batter,3,NN
fate,3,NN
dismay,3,NN
addict,3,NN
crate,3,NN
issues,3,NNS
depression,3,NN
postage,3,NN
nine,3,CD
champ,3,NN
experienced,3,JJ
bug,3,NN
deleted,3,VBN
gain,3,NN
versatile,3,NN
worthless,3,NN
rescue,3,NN
justin,3,NN
par,3,NN
shoot,3,NN
flashlight,3,NN
sour,3,NN
rectangles,3,NNS
tablespoon,3,NN
stoner,3,NN
located,3,VBN
tn,3,NN
seeds,3,NNS
reach,3,NN
cult,3,NN
dish,3,NN
vegetarian,3,JJ
kentucky,3,NN
producer,3,NN
league,3,NN
metal,3,NN
potassium,3,NN
touted,3,VBN
weekends,3,NNS
delaware,3,NN
paste,3,NN
delish,3,NN
lighten,3,NN
careful,3,NN
border,3,NN
smore,3,NN
approach,3,NN
wv,3,NN
evil,3,NN
ks,3,NN
https,3,NN
nuff,3,NN
voter,3,NN
flap,3,NN
knowledge,3,NN
fashion,3,NN
happier,3,NN
britain,3,NN
winn,3,NN
dixie,3,NN
piggly,3,RB
nw,3,NN
matters,3,NNS
taught,3,NN
wiggly,3,RB
pathetic,3,JJ
aroma,3,NN
powered,3,VBN
elsewhere,3,RB
reminiscing,3,VBG
mission,3,NN
annoying,3,VBG
blog,3,NN
messing,3,VBG
kirkland,3,NN
mary,3,NN
yup,3,NN
yearly,3,RB
blender,3,NN
substitution,3,NN
grief,3,NN
throwing,3,VBG
continually,3,RB
candies,3,NNS
whistle,3,NN
asleep,3,NN
ron,3,NN
flaw,3,NN
hid,3,NN
ho,3,NN
staples,3,NNS
intact,3,JJ
meatloaf,3,NN
eli,3,NN
milwaukee,3,NN
crush,3,NN
buried,3,VBN
shirt,3,NN
kick,3,NN
asian,3,JJ
limit,3,NN
desperate,3,NN
infinity,3,NN
scoop,3,NN
yo,3,NN
thoughts,3,NNS
diggity,3,NN
portion,3,NN
hmmmm,3,NN
addams,3,NNS
diego,3,NN
confirmed,3,VBN
hippo,3,NN
allows,3,NNS
collector,3,NN
noise,3,NN
law,3,NN
convinced,3,VBN
signed,3,VBN
baggies,3,NNS
moms,3,NNS
launch,3,NN
benefit,3,NN
blows,3,NNS
ecstatic,3,JJ
tradition,3,NN
account,3,NN
nineties,3,NNS
supposedly,3,RB
manufactures,3,NNS
sleepover,3,NN
swirls,3,NNS
war,3,NN
tended,3,VBD
woodmans,3,NNS
determined,3,VBN
bricks,3,NNS
powerful,3,JJ
christopher,3,NN
sixties,3,NNS
vegetable,3,NN
thicker,3,NN
forum,3,NN
favs,3,NN
sacramento,3,NN
mentions,3,NNS
offers,3,NNS
resurrection,3,NN
hitting,3,VBG
trek,3,NN
visits,3,NNS
smurfy,3,NN
endless,3,NN
videos,3,NNS
gmills,3,NNS
consuming,3,VBG
sponge,3,NN
riverside,3,NN
china,3,NN
gee,3,NN
mcrib,3,NN
waters,3,NNS
comic,3,JJ
activity,3,NN
election,3,NN
desert,3,NN
disagree,3,NN
popped,3,NN
pleeease,3,NN
accident,3,NN
grainy,3,NN
sausage,3,NN
amounts,3,NNS
binge,3,NN
electric,3,JJ
alphabits,3,NNS
user,3,NN
tongue,3,NN
plate,3,NN
porch,3,NN
pleaseeeee,3,NN
grumble,3,JJ
heaping,3,VBG
step,3,NN
shadow,3,NN
steer,3,NN
crumb,3,NN
savor,3,NN
freshman,3,NN
sorely,3,RB
chocolaty,3,NN
raleigh,3,NN
concept,3,NN
yearning,3,VBG
edible,3,JJ
necessarily,3,RB
resurgence,3,NN
pleasantly,3,RB
actor,3,NN
renamed,3,VBN
oreos,3,NN
pale,3,NN
ole,3,NN
meaning,3,NN
deserves,3,NNS
cowboy,3,NN
chewable,2,JJ
demanding,2,VBG
hunting,2,VBG
involves,2,NNS
softball,2,NN
suffice,2,NN
inducing,2,VBG
award,2,NN
idiotic,2,JJ
breading,2,NN
baking,2,NN
tacoma,2,NN
assuming,2,VBG
stationed,2,VBN
nap,2,NN
collapsed,2,VBN
beanie,2,NN
pleasures,2,NNS
sir,2,NN
wedding,2,NN
adventure,2,NN
grapefellow,2,NN
trade,2,NN
bahaah,2,NN
cutest,2,NN
daydream,2,NN
displayed,2,NN
layer,2,NN
seniors,2,NNS
surface,2,NN
software,2,NN
enormous,2,JJ
auto,2,NN
emblems,2,NNS
nearby,2,RB
maria,2,NNS
aspect,2,NN
explode,2,NN
unbelievably,2,RB
environment,2,NN
lottery,2,NN
newport,2,NN
variations,2,NNS
discontinues,2,NNS
irish,2,JJ
calendar,2,NN
hoot,2,NN
chest,2,NN
stash,2,NN
alien,2,NN
defend,2,NN
snacked,2,VBN
indicated,2,VBN
levels,2,NNS
celiac,2,NN
fox,2,NN
tosties,2,NNS
advice,2,NN
ripped,2,NN
discovering,2,VBG
canceled,2,VBN
millennials,2,NNS
bathroom,2,NN
buddy,2,NN
cart,2,NN
appeared,2,VBD
laxative,2,NN
ceased,2,VBN
fills,2,NNS
destroy,2,NN
destroying,2,VBG
sentiments,2,NNS
caught,2,NN
trump,2,NN
oct,2,NN
chinese,2,JJ
chopped,2,NN
whistles,2,NNS
belt,2,NN
selections,2,NNS
ears,2,NNS
buckle,2,NN
waffalos,2,NN
foggy,2,NN
roger,2,NN
airplane,2,NN
provides,2,VBZ
waffelo,2,NN
unacceptable,2,JJ
advance,2,NN
unbearable,2,JJ
reported,2,VBD
islands,2,NNS
unpopular,2,JJ
embarrassed,2,VBN
pirate,2,NN
vindicated,2,VBN
boggles,2,NNS
whale,2,NN
tossing,2,VBG
brunch,2,NN
signatures,2,NNS
marathon,2,NN
sporting,2,VBG
commenting,2,VBG
shipment,2,NN
shut,2,NN
creatures,2,NNS
equals,2,NNS
palate,2,NN
tastiness,2,NN
shore,2,NN
planes,2,NNS
employees,2,NNS
upsets,2,NNS
marketers,2,NNS
jackie,2,NN
lakeland,2,NN
hug,2,NN
moron,2,NN
pleasant,2,NN
thurl,2,NN
ravenscroft,2,NN
unicorn,2,JJ
hbo,2,NN
proudly,2,RB
agreement,2,NN
reincarnation,2,NN
billy,2,RB
jars,2,NNS
lou,2,NN
containing,2,VBG
dubious,2,JJ
brave,2,NN
portsmouth,2,NN
requested,2,VBN
fanny,2,NN
hoard,2,NN
port,2,NN
storm,2,NN
wonders,2,NNS
yahoo,2,NN
songs,2,NNS
reflect,2,NN
blown,2,NN
cornflake,2,NN
loads,2,NNS
proven,2,NN
keebler,2,NN
sweeten,2,NN
intentions,2,NNS
unanswered,2,JJ
bleccch,2,NN
pretzel,2,NN
ending,2,VBG
lie,2,NN
belgium,2,NN
voters,2,NNS
cinnamony,2,NN
bargain,2,NN
ala,2,NN
tour,2,NN
gimmick,2,NN
regional,2,JJ
nourishment,2,NN
wholesomeness,2,NN
harts,2,NNS
tank,2,NN
alert,2,NN
hell,2,NN
gal,2,NN
yall,2,NN
christi,2,NN
europe,2,NN
elementary,2,JJ
corpus,2,NN
minimum,2,NN
wichita,2,NN
holdings,2,NNS
urine,2,NN
bold,2,NN
pajamas,2,NN
ups,2,NNS
dental,2,NN
meat,2,NN
roman,2,NN
april,2,NN
wimpy,2,NN
victim,2,NN
carol,2,NN
burns,2,NNS
pumpkin,2,NN
outrageous,2,JJ
massachusetts,2,NN
rushing,2,VBG
handfuls,2,NN
accepting,2,VBG
anorexic,2,NN
extended,2,VBN
richest,2,NN
creamiest,2,NN
smoothest,2,NN
underground,2,NN
milked,2,NNS
dense,2,NN
pancake,2,NN
mediocre,2,NN
button,2,NN
generally,2,RB
dishes,2,NNS
sacrificed,2,VBN
fierce,2,NN
grass,2,NN
grampa,2,NN
judy,2,NN
greenfield,2,NN
splenda,2,NN
pounder,2,NN
flaked,2,VBN
swallow,2,NN
women,2,NNS
griffith,2,NN
andy,2,NN
thomas,2,NN
danny,2,NN
mild,2,NN
cured,2,VBN
sticks,2,NNS
minority,2,NN
distributor,2,NN
filler,2,NN
scientist,2,NN
albertsons,2,NNS
distant,2,NN
contribute,2,NN
champaign,2,NN
honeys,2,NNS
phrase,2,NN
precious,2,JJ
packaged,2,VBN
bloomington,2,NN
investment,2,NN
pointed,2,VBN
scenes,2,NNS
discussing,2,VBG
stealing,2,VBG
elderly,2,RB
fifteen,2,NN
trailmix,2,NN
babies,2,NNS
adequate,2,NN
apartment,2,NN
snatch,2,NN
duplicated,2,VBN
continues,2,VBZ
sky,2,NN
sensation,2,NN
provide,2,NN
afterwards,2,NNS
cuter,2,NN
efforts,2,NNS
experiencing,2,VBG
pt,2,NN
mistakes,2,NNS
tales,2,NNS
susan,2,NN
hostess,2,NN
focus,2,NN
suit,2,NN
expired,2,VBD
italian,2,JJ
male,2,NN
lunchtime,2,NN
frost,2,NN
dash,2,NN
roy,2,NN
grove,2,NN
pies,2,NNS
behold,2,NN
munchies,2,NNS
sponsors,2,NNS
wholesale,2,NN
athletes,2,NNS
severely,2,RB
weekly,2,JJ
fart,2,NN
toastie,2,NN
americans,2,NNS
darling,2,VBG
raves,2,NNS
vet,2,NN
tennis,2,NN
asp,2,NN
explanation,2,NN
bodine,2,NN
austin,2,NN
vancouver,2,NN
mobile,2,NN
tab,2,NN
mt,2,NN
satisfies,2,NNS
sponsored,2,VBN
assortment,2,NN
peoples,2,NNS
hits,2,NNS
springs,2,NNS
mississauga,2,NN
valentine,2,NN
whats,2,NNS
leftovers,2,NNS
smoothness,2,NN
drizzled,2,VBN
propeller,2,NN
range,2,NN
golf,2,NN
opinions,2,NNS
trimester,2,NN
guns,2,NNS
gnfs,2,NN
niche,2,NN
sought,2,NN
pronounced,2,VBN
ordinary,2,JJ
tables,2,NNS
ann,2,NN
relax,2,NN
eva,2,NN
adverts,2,NNS
fruitful,2,NN
outcry,2,NN
strategy,2,NN
sobbing,2,VBG
worker,2,NN
dairy,2,NN
browse,2,NN
significant,2,JJ
chatted,2,VBN
northeast,2,NN
vt,2,NN
comics,2,NNS
phoenix,2,NN
concoction,2,NN
faithful,2,NN
purchaser,2,NN
racism,2,NN
drops,2,NNS
asda,2,NN
splash,2,NN
newee,2,NN
bowels,2,NNS
patronage,2,NN
toured,2,VBN
hoarse,2,NN
montreal,2,NN
claire,2,NN
pointe,2,NN
crisper,2,NN
nutritionally,2,RB
underrated,2,JJ
rectangular,2,NN
masses,2,NNS
kudos,2,NN
pushed,2,VBN
announcer,2,NN
sobeys,2,NNS
compact,2,NN
audience,2,NN
drain,2,NN
properly,2,RB
demographic,2,JJ
sunflakes,2,NNS
grownups,2,NNS
gim,2,NN
injury,2,NN
regimen,2,NNS
niagara,2,NN
larryxcop,2,NN
ideal,2,NN
flaker,2,NN
snorz,2,NN
squirt,2,NN
precisely,2,RB
whisper,2,NN
visually,2,RB
loosing,2,VBG
gratifying,2,VBG
bough,2,NN
fort,2,NN
embedded,2,VBN
detroit,2,NN
tend,2,NN
soften,2,NN
flea,2,NN
toledo,2,NN
pics,2,NNS
announced,2,VBD
labeled,2,VBN
sugarcoated,2,VBN
average,2,JJ
tinkered,2,VBN
preaching,2,VBG
distribution,2,NN
lamenting,2,VBG
rome,2,NN
skip,2,NN
leading,2,VBG
lexington,2,NN
gardner,2,NN
fulfilled,2,VBN
warrensburg,2,NN
bean,2,NN
desire,2,NN
pluck,2,NN
hardy,2,NN
kansas,2,NN
remarkable,2,JJ
fussy,2,NN
fade,2,NN
soupy,2,NN
puffy,2,NN
lafoot,2,NN
dozens,2,NNS
inability,2,NN
orland,2,NN
reissue,2,NN
por,2,NN
model,2,NN
energized,2,VBN
parties,2,NNS
sadness,2,NN
superb,2,NN
thirty,2,NN
shed,2,VBN
spam,2,NN
laugh,2,NN
summertime,2,NN
abusing,2,VBG
manitoba,2,NN
teasing,2,VBG
dependent,2,NN
increased,2,VBN
jewel,2,NN
bild,2,NN
persuade,2,NN
indication,2,NN
launched,2,VBN
uniquely,2,RB
repackaged,2,VBN
charlotte,2,NN
acquired,2,VBN
dividers,2,NNS
speculate,2,NN
refined,2,VBN
hahahaha,2,NN
monsters,2,NNS
uplifting,2,VBG
panel,2,NN
dec,2,NN
nickname,2,NN
bubba,2,NN
chocolatey,2,NN
faint,2,NN
masterpiece,2,NN
crispie,2,NN
joking,2,NN
combine,2,NN
laughing,2,VBG
anguish,2,NN
seinfeld,2,NN
gate,2,NN
kiddie,2,NN
bath,2,NN
watering,2,VBG
adorable,2,JJ
payed,2,NN
tie,2,NN
article,2,NN
undisputed,2,JJ
sexy,2,NN
gifts,2,NNS
sang,2,NN
timberlake,2,NN
starving,2,VBG
olds,2,NNS
de,2,NNS
phase,2,NN
en,2,NN
postman,2,NN
creamer,2,NN
lines,2,NNS
signature,2,NN
removal,2,NN
pork,2,NN
choir,2,NN
pet,2,NN
butts,2,NN
scraped,2,VBD
ireland,2,NN
strongly,2,RB
import,2,NN
ancestors,2,NNS
clamoring,2,VBG
mama,2,NN
temporarily,2,RB
melting,2,VBG
referring,2,VBG
leonard,2,NN
rumor,2,NN
alter,2,NN
chasing,2,VBG
helpful,2,NN
expectations,2,NNS
prepare,2,NN
development,2,NN
thiz,2,NN
honored,2,VBN
patrol,2,NN
thousand,2,NN
battery,2,NN
craisins,2,NNS
faith,2,NN
digital,2,NN
bells,2,NNS
granny,2,NN
sworn,2,NN
montana,2,NN
vowed,2,NN
mississippi,2,NN
mankind,2,NN
acted,2,VBN
princess,2,NN
ed,2,NN
paw,2,NN
army,2,NN
concern,2,NN
strangest,2,NN
patti,2,NNS
lowering,2,VBG
humor,2,NN
voices,2,NNS
catsup,2,NN
numbers,2,NNS
chexs,2,NN
hangs,2,NNS
learning,2,VBG
raving,2,VBG
uggh,2,NN
peter,2,NN
ritual,2,JJ
expressed,2,VBN
mental,2,NN
beneficial,2,JJ
update,2,NN
orders,2,NNS
eileen,2,NN
diminished,2,VBN
indescribable,2,JJ
intended,2,VBN
consumed,2,VBN
falling,2,VBG
catering,2,NN
cone,2,NN
heavens,2,NNS
nada,2,NN
goofy,2,NN
resurrecting,2,VBG
pronto,2,NN
criminal,2,JJ
hanna,2,NN
exercise,2,NN
oblong,2,RB
vietnam,2,NNS
smarts,2,NNS
cornerstone,2,NN
driven,2,NN
matured,2,VBN
co,2,NN
freezing,2,VBG
ink,2,NN
daddy,2,NN
mourned,2,VBN
walked,2,VBD
transfer,2,NN
neck,2,NN
potato,2,NN
areas,2,NNS
consequently,2,RB
grrrrr,2,NN
drawn,2,NN
ohh,2,NN
animated,2,VBN
dissolved,2,VBN
spelt,2,NN
oceans,2,NNS
tribute,2,NN
whip,2,NN
revenue,2,NN
argue,2,NN
brek,2,NN
gaining,2,VBG
stacks,2,NNS
youthful,2,NN
fizz,2,NN
lookin,2,NN
term,2,NN
concerning,2,VBG
legendary,2,JJ
supplies,2,NNS
displeased,2,JJ
citizen,2,NN
sharon,2,NN
sill,2,NN
nuggets,2,NNS
smells,2,NNS
outer,2,NN
preservatives,2,NNS
fail,2,NN
dinosaurs,2,NNS
connect,2,NN
famous,2,JJ
replies,2,NNS
students,2,NNS
honor,2,NN
sessions,2,NNS
whiff,2,NN
toddler,2,NN
dakota,2,NN
reality,2,NN
crunchiest,2,NN
somethings,2,NNS
verify,2,NN
shower,2,NN
attempts,2,NNS
imagining,2,VBG
cruelly,2,RB
balsa,2,NN
wood,2,NN
aloha,2,NN
flyer,2,NN
globes,2,NNS
angeles,2,NNS
fred,2,VBN
los,2,NN
turkish,2,NN
commodity,2,NN
loyalty,2,NN
mysterious,2,JJ
twenty,2,NN
morons,2,NNS
inexpensive,2,JJ
salty,2,NN
ignorant,2,NN
consistently,2,RB
swirled,2,VBN
revamped,2,NN
status,2,NN
toss,2,NN
servings,2,NNS
ahhhhh,2,NN
dc,2,NN
counterpoint,2,NN
lyrics,2,NNS
vague,2,NN
thy,2,NN
positively,2,RB
dismal,2,NN
capture,2,NN
desk,2,NN
nickee,2,NN
po,2,NN
fancy,2,NN
forwarded,2,VBN
locations,2,NNS
inform,2,NN
scat,2,NN
wasting,2,VBG
fizzies,2,NNS
pineapple,2,NN
random,2,NN
loosely,2,RB
colossal,2,NN
dance,2,NN
mater,2,NN
colourful,2,NN
charts,2,NNS
thankful,2,NN
contents,2,NNS
mcdonough,2,NN
dreamed,2,VBN
backwards,2,NNS
berrys,2,NN
comebacks,2,NNS
rings,2,NNS
hung,2,NN
grammy,2,NN
cleaned,2,VBN
artist,2,NN
remaining,2,VBG
dopey,2,NN
individually,2,RB
gooey,2,NN
screwed,2,VBN
custom,2,NN
bozo,2,NN
claimed,2,NN
teaspoon,2,NN
planned,2,VBN
outgrew,2,NN
betty,2,NN
commissioned,2,VBN
arrived,2,VBN
winning,2,VBG
disconnected,2,VBN
teams,2,NNS
bonnie,2,NN
tad,2,NN
smoke,2,NN
jacksonville,2,NN
kool,2,NN
rap,2,NN
springfield,2,NN
herman,2,NN
drug,2,NN
kong,2,NN
awfully,2,RB
donkey,2,NN
overpowering,2,VBG
bubbles,2,NNS
vice,2,NN
priceless,2,NN
cecil,2,NN
lake,2,NN
handful,2,NN
planets,2,NNS
wonderfulness,2,NN
demands,2,NNS
partial,2,JJ
combines,2,NNS
ground,2,NN
columbia,2,NN
brazil,2,NN
tucson,2,NN
responsibility,2,NN
knockoff,2,NN
bubble,2,JJ
annoyed,2,NNS
resurrected,2,VBN
pleaseeee,2,NN
approved,2,VBN
reappearance,2,NN
babysitter,2,NN
unknown,2,JJ
thematic,2,JJ
bullwinkle,2,NN
cleveland,2,NN
marc,2,NN
shell,2,NN
remarkably,2,RB
reproduced,2,VBN
stronger,2,JJR
polite,2,NN
wold,2,NN
reconsiders,2,NNS
twelve,2,NN
equipment,2,NN
fold,2,NN
cruncher,2,NN
buildings,2,NNS
moons,2,NNS
meatballs,2,NNS
orgasmic,2,JJ
dipping,2,VBG
jealous,2,JJ
patrick,2,NN
sum,2,NN
eternity,2,NN
fallen,2,VBN
wayside,2,NN
cheryl,2,NN
core,2,NN
sore,2,NN
nursing,2,NN
shred,2,VBN
panama,2,NN
protests,2,NNS
spitting,2,VBG
kv,2,NN
involved,2,VBN
cruch,2,JJ
hall,2,NN
demolished,2,VBN
capt,2,NN
seventy,2,NN
sunset,2,NN
wilmington,2,NN
chewbacca,2,NN
weis,2,NN
smallest,2,JJS
dam,2,NN
student,2,NN
heyday,2,NN
overload,2,NN
boot,2,NN
gasp,2,NN
maze,2,NN
tickles,2,NNS
traveled,2,VBD
sink,2,NN
oriented,2,VBN
lemon,2,NN
luv,2,NN
twins,2,NNS
trading,2,NN
beauty,2,NN
bologna,2,NN
university,2,NN
smith,2,NN
spokesperson,2,NN
icky,2,NN
flashlights,2,NNS
pool,2,NN
coffin,2,NN
bereft,2,NN
alma,2,NN
heartier,2,NN
kingdom,2,NN
dreadful,2,NN
greats,2,NNS
entered,2,VBN
wear,2,NN
improvement,2,NN
gracias,2,NN
crunchiness,2,NN
relations,2,NNS
department,2,NN
margin,2,NN
defined,2,VBN
register,2,NN
upsetting,2,VBG
miniature,2,NN
lamented,2,VBN
restocked,2,VBN
actively,2,RB
reissued,2,VBN
strands,2,NNS
marketplace,2,NN
rediscovered,2,VBN
gooooood,2,NN
xdd,2,NN
continuously,2,RB
results,2,NNS
extract,2,NN
wholewheat,2,NN
resturants,2,NNS
prompted,2,VBN
namesake,2,NN
es,2,NN
tragedy,2,NN
card,2,NN
records,2,NNS
implied,2,VBN
swelling,2,VBG
unreal,2,NN
european,2,JJ
laced,2,VBN
films,2,NNS
crisped,2,NN
swell,2,NN
clumber,2,NN
gothic,2,JJ
described,2,NN
maurice,2,NN
surpasses,2,NNS
physical,2,JJ
partner,2,NN
presumably,2,RB
rent,2,NN
viable,2,JJ
facts,2,NNS
goooood,2,NN
repeat,2,NN
yumm,2,NN
generously,2,RB
nov,2,NN
petty,2,NN
overcome,2,NN
certainty,2,NN
outlets,2,NNS
heroin,2,NN
partners,2,NNS
greater,2,JJR
owner,2,NN
recognized,2,VBN
justify,2,NN
hotcakes,2,NNS
bus,2,NN
frank,2,NN
kit,2,NN
passionate,2,NN
deserts,2,NNS
croak,2,NN
quacking,2,VBG
upcs,2,NN
fakes,2,NNS
minded,2,VBN
privilege,2,NN
uggghh,2,NN
suffer,2,NN
horrid,2,NN
longtime,2,NN
selection,2,NN
management,2,NN
recurring,2,VBG
pricy,2,NN
colour,2,NN
outraged,2,VBN
universe,2,NN
gmo,2,NN
ohhhh,2,NN
reddish,2,NN
beggin,2,NN
remained,2,VBD
tan,2,NN
indianapolis,2,NN
lingers,2,NNS
units,2,NNS
hanging,2,VBG
bucwheat,2,NN
basement,2,NN
airy,2,NN
lacks,2,NNS
creating,2,VBG
traded,2,VBN
album,2,NN
glue,2,NN
supplements,2,NNS
longingly,2,RB
referred,2,VBN
grandbabies,2,NNS
appetite,2,NN
presented,2,VBN
include,2,NN
surprising,2,NN
scottish,2,JJ
mighty,2,NN
crispness,2,NN
karate,2,NN
brian,2,NN
aug,2,NN
plea,2,NN
nan,2,NN
zero,2,NN
grrrrrr,2,NN
ties,2,NNS
um,2,NN
maass,2,NN
shout,2,NN
baffles,2,NNS
attractive,2,JJ
ri,2,NN
points,2,NNS
split,2,NN
unexpected,2,JJ
crossing,2,VBG
windmill,2,NN
crud,2,NN
adopted,2,VBN
mommy,2,NN
boat,2,NN
reviewers,2,NNS
surreal,2,NN
climate,2,NN
challenge,2,NN
pat,2,NN
horrified,2,VBN
aah,2,NN
birthdays,2,NNS
rationed,2,VBN
mcdonalds,2,NNS
penalizing,2,VBG
seat,2,NN
binding,2,NN
mortified,2,VBN
rave,2,VB
sixteen,2,NN
funky,2,NN
acceptable,2,JJ
evident,2,NN
sees,2,NNS
beating,2,NN
pfo,2,NN
willingly,2,RB
conspiracy,2,NN
greetings,2,NNS
amusing,2,VBG
boycotting,2,NN
defiantly,2,RB
happiest,2,NN
rush,2,NN
pleases,2,NNS
twitter,2,NN
photo,2,NN
hill,2,NN
spring,2,NN
grins,2,NNS
weighing,2,VBG
approve,2,VB
moments,2,NNS
weirdo,2,NN
lobby,2,NN
spin,2,NN
cd,2,NN
tied,2,VBN
answered,2,VBN
muesli,2,NN
fulls,2,NNS
achieve,2,NN
insisted,2,VBN
scoobydoo,2,NN
expanded,2,VBN
stepped,2,VBD
pardon,2,NN
palatable,2,JJ
yea,2,NN
solution,2,NN
stories,2,NNS
rereal,2,NN
checker,2,NN
ballot,2,NN
nonetheless,2,RB
considers,2,NNS
tonsils,2,NNS
undoubtedly,2,RB
shine,2,NN
frickin,2,NN
dumped,2,NNS
position,2,NN
hesitation,2,NN
saddest,2,NN
essential,2,JJ
crunchies,2,NNS
murphy,2,NN
singers,2,NNS
charles,2,NNS
champions,2,NNS
freaky,2,NN
samples,2,NNS
alongside,2,RB
particles,2,NNS
squirrels,2,NNS
graveyard,2,NN
pebble,2,JJ
cloud,2,NN
helping,2,VBG
imho,2,NN
unfortunate,2,NN
saucers,2,NNS
hideout,2,NN
clip,2,NN
ray,2,NN
values,2,NNS
supplement,2,NN
mmmmmmm,2,NN
bribe,2,NN
wrestler,2,NN
closeout,2,NN
hartford,2,NN
reintroducing,2,VBG
portions,2,NNS
potatoes,2,NNS
spelling,2,VBG
regardless,2,RB
softened,2,VBN
exceptional,2,JJ
neighbors,2,NNS
actors,2,NNS
googling,2,VBG
harmed,2,VBN
orphanage,2,NN
lease,2,NN
destroyed,2,NN
angle,2,NN
schedule,2,NN
fondness,2,NN
casey,2,NN
ky,2,NN
hockey,2,NN
pitcher,2,NN
puzzled,2,VBN
accidentally,2,RB
newhart,2,NN
wilson,2,NN
stole,2,NN
concentration,2,NN
wy,2,NN
leads,2,NNS
dedicated,2,VBN
hyvee,2,NN
globe,2,NN
pig,2,NN
pleased,2,JJ
husky,2,NN
unbelievable,2,JJ
fools,2,NNS
choke,2,NN
trans,2,NNS
lisa,2,NN
girardeau,2,NN
religiously,2,RB
culture,2,NN
del,2,NN
tarantino,2,NN
catlyn,2,NN
necessary,2,JJ
salad,2,NN
hatin,2,NN
similarities,2,NNS
suspicions,2,NNS
socks,2,NNS
serves,2,NNS
individuals,2,NNS
promotions,2,NNS
volunteer,2,NN
soooooo,2,NN
engine,2,NN
smelling,2,VBG
goodbye,2,NN
nutri,2,NN
tribune,2,NN
walgreen,2,NN
belongs,2,NNS
dismayed,2,NN
alcohol,2,NN
pokeman,2,NN
flavorsome,2,NN
grandmothers,2,NNS
abuse,2,NN
munched,2,VBN
zorro,2,NN
st,2,NN
clean,2,NN
bb,2,NN
adds,2,VBZ
johnson,2,NN
overjoyed,2,NNS
relationship,2,NN
skills,2,NNS
snappy,2,JJ
explaining,2,VBG
grandsons,2,NNS
tastiest,2,NN
piano,2,NN
substituted,2,VBN
cracko,2,NN
treated,2,VBN
gms,2,NN
seek,2,NN
avid,2,NN
substance,2,NN
condiments,2,NNS
moose,2,NN
reg,2,NN
crumbled,2,VBN
oaty,2,NN
definite,2,NN
foolish,2,JJ
barley,2,NN
cutouts,2,NNS
bingo,2,NN
fyi,2,NN
soup,2,NN
nam,2,NNS
dealer,2,NN
z,2,NN
patch,2,NN
distraught,2,NN
virtual,2,JJ
junkie,2,NN
wakes,2,NNS
boosts,2,NNS
reduction,2,NN
thats,2,NNS
ac,2,NN
fincken,2,NN
fund,2,NN
engineering,2,NN
bakers,2,NNS
spite,2,NN
bosco,2,NN
allowing,2,VBG
formerly,2,RB
mannerisms,2,NNS
bugging,2,NN
mapley,2,NN
circles,2,NNS
elusive,2,JJ
martins,2,NNS
milks,2,NNS
italy,2,NN
noticeable,2,JJ
sickly,2,NN
whiskey,2,NN
haystacks,2,NNS
unaware,2,NN
yadda,2,NN
